"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2021-02-27","1","Surface Water","1.4","0.46","4.1","72","5.7","800","1900","1.3","0.15","0.13","7.1","5.7","17.6","1.1","4.4","25","21.5","1.91","0.76","2.21","0.26","36.1","0.003","2.7"
"Deep Bay","DM1","2021-03-24","1","Surface Water","12","0.27","14","70","5.5","270","530","1.1","0.063","0.11","7.5","0.9","22.1","1.3","6.1","20","21","1.43","0.81","1.97","0.14","9.8","0.003","3.8"
"Deep Bay","DM1","2021-04-16","1","Surface Water","2","0.26","15","65","4.8","66","140","0.67","0.06","0.15","7.8","3.5","21.4","1.1","5.7","19","24.6","0.99","0.82","1.55","0.2","11.6","0.008","4"
"Deep Bay","DM1","2021-05-17","1","Surface Water","1.4","0.22","14","57","4","38","90","0.49","0.11","0.21","7.2","5.1","13.4","1","1.4","21","30.7","0.82","N/A","N/A","N/A","25.1","0.003","9.4"
"Deep Bay","DM1","2021-06-16","1","Surface Water","2.1","0.41","1.7","56","4","130","430","0.9","0.17","0.19","7.4","2.5","11.9","0.9","4.3","51","30.1","1.48","N/A","N/A","N/A","37.1","0.007","<0.5"
"Deep Bay","DM1","2021-07-15","1","Surface Water","1.2","0.15","4.1","62","4.2","23","86","1.2","0.19","0.15","7.4","4.6","9.4","0.9","9.6","45","32.6","1.54","N/A","N/A","N/A","32.1","0.004","5.3"
"Deep Bay","DM1","2021-08-11","1","Surface Water","1.9","0.81","1.7","61","4.3","1600","3000","0.85","0.23","0.2","7.1","3.1","10.2","1","7.6","34","29.9","1.89","N/A","N/A","N/A","19.1","0.009","5.2"
"Deep Bay","DM1","2021-09-11","1","Surface Water","1.5","0.42","3.8","101","6.9","41","110","2.7","0.19","0.22","6.9","4.7","15.9","0.9","9","57","31","3.31","N/A","N/A","N/A","38","0.003","9.3"
"Deep Bay","DM1","2021-10-26","1","Surface Water","1.9","0.95","14","91","7","900","2400","2.2","0.26","0.13","7.2","3","14.1","0.9","11","13","24.7","3.41","N/A","N/A","N/A","13.6","0.008","2.8"
"Deep Bay","DM1","2021-11-05","1","Surface Water","1.1","0.43","5.4","89","6.3","90","260","1.2","0.17","0.15","7","1.5","20","1.1","6.6","19","27.4","1.8","0.86","2.23","0.25","20.6","0.003","7.1"
"Deep Bay","DM1","2021-12-04","1","Surface Water","1.3","0.21","13","92","7.7","190","460","1.2","0.084","0.11","7.5","3.5","22.2","1.3","2.3","20","17.6","1.49","0.51","1.79","0.16","16.4","0.002","2.8"
"Deep Bay","DM2","2021-02-27","1","Surface Water","1.4","0.14","5.3","73","5.7","120","240","0.74","0.047","0.084","7.3","7.5","20","0.9","2.8","18","21.7","0.93","0.4","1.19","0.28","44.4","<0.001","2.4"
"Deep Bay","DM2","2021-03-24","1","Surface Water","1.1","0.18","8.4","72","5.7","80","160","0.82","0.043","0.089","7.4","<0.2","20.3","1.3","5.2","18","21.4","1.04","0.49","1.35","0.12","13.3","0.002","3.4"
"Deep Bay","DM2","2021-04-16","1","Surface Water","5.3","0.17","43","71","5.1","9","11","0.35","0.026","0.082","7.9","8.9","23.3","1.3","4.4","21","24.9","0.55","0.94","1.32","0.17","10.7","0.006","4.9"
"Deep Bay","DM2","2021-05-17","1","Surface Water","0.4","0.041","18","73","5","12","33","0.39","0.065","0.11","7.5","5.9","14.8","1.2","0.7","43","31.1","0.5","N/A","N/A","N/A","33","0.001","5.8"
"Deep Bay","DM2","2021-06-16","1","Surface Water","1.4","0.15","2.1","71","4.9","52","140","0.66","0.12","0.13","7.3","1.6","14.8","1","3.4","56","30.4","0.93","N/A","N/A","N/A","40.5","0.003","7.2"
"Deep Bay","DM2","2021-07-15","1","Surface Water","9","0.056","4.9","65","4.4","20","49","0.94","0.14","0.09","7.2","3.8","12.3","1.1","7","26","32.9","1.14","N/A","N/A","N/A","20.8","<0.001","4.3"
"Deep Bay","DM2","2021-08-11","1","Surface Water","1.8","1","3","69","5","3200","6000","0.97","0.18","0.17","6.9","2.4","9.8","1.2","8.5","26","29.8","2.15","N/A","N/A","N/A","16.5","0.006","4.3"
"Deep Bay","DM2","2021-09-11","1","Surface Water","1.2","0.27","3.9","99","6.6","24","56","2.4","0.14","0.15","7.4","4.7","18.9","0.7","6.5","70","31.2","2.81","N/A","N/A","N/A","146.4","0.005","7.8"
"Deep Bay","DM2","2021-10-26","1","Surface Water","2.2","0.58","6.8","94","6.9","350","650","1.3","0.16","0.14","7.6","3.9","21.3","0.9","5.5","22","25","2.04","N/A","N/A","N/A","15.1","0.011","3.4"
"Deep Bay","DM2","2021-11-05","1","Surface Water","1","0.29","6.2","95","6.6","20","61","1.3","0.15","0.11","7.2","1.3","24.8","1.4","6.3","6.4","26.9","1.74","0.88","2.33","0.22","14.7","0.003","1.3"
"Deep Bay","DM2","2021-12-04","1","Surface Water","2.1","0.062","19","125","10.1","31","65","0.74","0.048","0.056","7.8","3.2","26.5","1.5","1.2","13","18.2","0.85","0.45","1.24","0.11","14.4","0.001","2.6"
"Deep Bay","DM3","2021-01-28","1","Surface Water","2.1","0.1","15","71","5.6","4","5","0.31","0.077","0.024","8","2.5","26.6","1.6","0.75","5.7","19.6","0.49","0.54","0.93","0.08","6.8","0.003","1.8"
"Deep Bay","DM3","2021-02-27","1","Surface Water","1.5","0.12","5.5","71","5.5","6","20","0.37","0.034","0.026","7.7","2.7","24.2","1.2","1.2","6.3","21.6","0.52","0.27","0.67","0.23","11.2","0.002","1.4"
"Deep Bay","DM3","2021-03-24","1","Surface Water","6.5","0.14","57","71","5.3","2","6","0.39","0.023","0.042","7.8","5.9","26.1","1.8","3.2","20","22","0.55","0.97","1.38","0.11","6","0.003","6"
"Deep Bay","DM3","2021-04-16","1","Surface Water","9.2","0.23","76","75","5.3","1","2","0.15","0.013","0.042","7.8","19","26.4","1.4","2.9","15","25.4","0.39","1.2","1.36","0.16","5.9","0.007","4.8"
"Deep Bay","DM3","2021-05-17","1","Surface Water","1","0.03","10","69","4.8","2","18","0.58","0.13","0.034","7.5","3.5","14.1","1.3","3.1","12","30.2","0.74","N/A","N/A","N/A","12.2","<0.001","2.2"
"Deep Bay","DM3","2021-06-16","1","Surface Water","0.5","0.04","1.1","75","5.2","32","55","0.69","0.13","0.053","7.4","1","15.7","1.2","4.8","9.6","29.9","0.86","N/A","N/A","N/A","9.6","<0.001","2.4"
"Deep Bay","DM3","2021-07-15","1","Surface Water","0.9","0.059","2.3","72","4.8","14","22","0.75","0.091","0.025","7.2","1.7","15.8","1.3","4.3","12","31.7","0.9","N/A","N/A","N/A","11.1","<0.001","2.5"
"Deep Bay","DM3","2021-08-11","1","Surface Water","0.7","0.34","1.7","73","5","220","580","0.63","0.13","0.089","7.1","2.2","18.2","1.4","4.1","13","29.9","1.1","N/A","N/A","N/A","8.6","0.003","2.4"
"Deep Bay","DM3","2021-09-11","1","Surface Water","0.6","0.13","2.5","91","5.9","5","13","2","0.066","0.096","7.6","1.6","23.2","1","3.7","8.5","31.1","2.2","N/A","N/A","N/A","19.1","0.004","1.2"
"Deep Bay","DM3","2021-10-26","1","Surface Water","0.6","0.29","1.8","95","6.8","19","41","0.7","0.13","0.11","7.7","2.6","26.7","0.9","4.1","4.8","24.7","1.12","N/A","N/A","N/A","4.9","0.007","1.1"
"Deep Bay","DM3","2021-11-05","1","Surface Water","0.7","0.1","4.1","85","5.8","1","4","0.54","0.074","0.082","7.4","0.6","28.8","1.4","2.7","2.8","26.5","0.71","0.78","1.39","0.14","116.1","0.001","0.6"
"Deep Bay","DM3","2021-12-04","1","Surface Water","2.8","0.061","20","127","9.8","11","12","0.069","0.015","0.006","8","6.2","30.2","2.1","0.09","8.2","19.1","0.15","0.82","0.9","0.06","8.7","0.002","2.4"
"Deep Bay","DM4","2021-02-27","1","Surface Water","1","0.16","2.4","70","5.4","490","650","0.34","0.03","0.01","7.7","1.5","26.4","1.4","0.97","9","20.8","0.53","0.24","0.61","0.13","9","0.003","<0.5"
"Deep Bay","DM4","2021-02-27","1","Bottom Water","1","0.16","2.8","68","5.2","370","510","0.34","0.03","0.011","7.7","1.1","26.4","1.4","0.96","9.6","20.8","0.53","0.34","0.71","0.08","9.9","0.003","1.4"
"Deep Bay","DM4","2021-03-24","1","Surface Water","1","0.13","6.4","70","5.2","4","6","0.41","0.026","0.037","7.7","<0.2","28.9","2.2","3.1","8.4","21.7","0.57","0.35","0.79","0.06","5.8","0.002","1.9"
