Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2019/1/9,1.5,0.59,4.5,73,6.1,490,950,2.7,0.13,0.14,7.3,4.2,19.4,1,6.4,36,18.9,3.42,21.9,0.004,6.4
2019/2/23,3.8,0.51,5,63,5.1,640,1000,1.8,0.16,0.13,7.3,16,16.6,0.9,4.8,360,21.3,2.47,134.4,0.004,41
2019/3/8,1.3,0.69,1.1,72,5.9,6800,13000,1.6,0.11,0.17,7.4,2.4,15.9,1.3,5.1,42,20.1,2.4,20.2,0.006,7.2
2019/4/24,3.2,1.1,6.1,56,4.2,2600,3400,1,0.28,0.17,7.5,5.2,9.1,0.7,3.7,53,27.9,2.38,27.9,0.025,14
2019/5/23,1.9,0.28,9.9,74,5.4,1100,2200,1.1,0.13,0.14,7.7,7.6,12.4,1,1.6,66,28.3,1.51,42.7,0.01,9.4
2019/6/24,2.6,0.58,2.3,62,4.6,240,490,1.3,0.67,0.23,7.5,8.5,4.7,1,13,40,29.9,2.55,28.3,0.016,6.5
2019/7/19,2,0.058,6.4,74,5.2,88,250,1.3,0.54,0.19,7.8,8.1,4.6,1,11,25,32.6,1.9,17.4,0.004,5.4
2019/8/2,1.6,0.93,1.2,55,4.3,59000,130000,0.77,0.12,0.11,7.3,2.8,4.3,0.9,7.3,21,26.9,1.82,27.6,0.012,3.2
2019/9/16,1.1,0.25,5.1,86,5.9,580,1700,0.98,0.15,0.15,7.3,4.9,13,1.3,7.7,17,31.4,1.38,14,0.005,2.9
2019/11/14,1,0.18,3.5,78,5.9,100,390,1.5,0.085,0.14,7.7,7.3,21.7,0.8,5.1,52,23.4,1.77,40.6,0.004,7.3
2019/12/14,2.2,0.48,3.4,95,7.7,1100,3100,2.1,0.099,0.12,7.8,6.8,19.6,1.2,5.2,98,19.7,2.68,46.1,0.01,11
2019/1/9,1.2,0.36,2.4,75,6.1,140,180,1.8,0.079,0.13,7.4,3.1,23,1,4.8,32,18.6,2.24,12.7,0.003,5.7
2019/2/23,1.7,0.35,4.5,65,5.1,100,280,1.6,0.095,0.14,7.3,7.3,18.7,1,4,110,21.7,2.05,59.5,0.003,13
2019/3/8,0.9,0.43,0.9,72,5.8,4000,7100,1.3,0.073,0.13,7.6,0.9,18.7,1.1,3.8,45,20.3,1.8,20.4,0.005,8.5
2019/4/24,2.7,0.91,14,74,5.5,2100,2700,1.1,0.23,0.15,7.7,6,10,0.9,2.7,48,28.1,2.24,29.4,0.032,11
2019/5/23,1.5,0.18,8.4,83,6,1100,3000,1.2,0.11,0.12,7.8,6.5,13.6,1,1.1,47,28.1,1.49,30.7,0.008,7.3
2019/6/24,2.1,0.49,2.4,75,5.5,150,170,1.2,0.67,0.23,7.5,4.8,5.5,1,13,37,30.1,2.36,30.3,0.011,5.6
2019/8/2,1.8,1.6,1.9,56,4.4,23000,56000,0.76,0.14,0.11,7.4,4.2,5.5,1,8.5,36,26.8,2.5,26.6,0.027,7.4
2019/9/16,1.3,0.21,3.9,70,4.8,1800,9500,0.95,0.14,0.13,7.7,7,13.9,1.1,6.7,48,31,1.3,24.6,0.009,6.2
2019/10/16,1,0.3,6.8,72,5.1,90,260,1.1,0.13,0.14,7.5,4.5,19.1,1,5.4,52,27.7,1.53,24.1,0.005,5.4
2019/12/14,1.1,0.21,7,88,6.9,150,370,1.2,0.055,0.096,8,7.5,24.7,1.1,3.1,47,19.8,1.47,37.1,0.007,5.6
2019/1/9,0.6,0.16,0.9,82,6.5,15,17,0.84,0.04,0.082,7.6,2,28.3,1,2.9,22,18.4,1.04,9.2,0.002,3.9
2019/2/23,0.5,0.16,1.5,76,5.8,9,13,0.89,0.029,0.072,7.5,3.2,23.6,1.1,2.4,23,21.5,1.08,9.5,0.002,3.8
2019/3/8,0.3,0.19,0.9,79,6.2,330,540,0.85,0.034,0.066,7.8,2.1,23,1.5,2,15,20.3,1.07,6.5,0.004,2.5
2019/4/24,0.6,0.26,2.1,75,5.7,150,530,1.7,0.13,0.069,7.8,2.2,9.4,1.4,7.2,7,26.3,2.09,5.1,0.009,1.8
2019/5/23,0.9,0.071,6.9,77,5.5,220,700,0.85,0.05,0.055,7.9,5.1,16.6,1.2,2,17,27.8,0.97,11.9,0.004,3
2019/6/24,0.6,0.058,1.8,80,5.8,37,180,1.3,0.062,0.08,7.7,2,8,1.2,8.6,18,29.7,1.42,9.4,0.002,2.6
2019/8/2,0.7,0.37,2.5,69,5,2500,8600,0.72,0.11,0.099,7.7,0.8,15.4,1.5,5.7,9,27.3,1.2,8.6,0.012,1.8
2019/9/16,0.4,0.1,2.2,70,4.7,300,970,0.73,0.1,0.071,7.8,3.2,18,1.3,4.7,18,31.1,0.93,9.1,0.005,2.4
2019/10/16,0.2,0.097,2.6,78,5.3,6,21,0.65,0.087,0.078,7.6,1.2,24.5,1.6,3.2,12,28.6,0.83,9.1,0.002,1.6
2019/11/14,1.2,0.034,8.9,113,7.9,6,14,0.3,0.048,0.018,8,3.6,29.5,1.7,0.6,14,24.8,0.38,4.3,0.002,2.4
2019/12/14,0.7,0.048,4.6,89,6.8,22,31,0.51,0.029,0.044,8.2,4,29,1.7,2.1,12,20,0.59,7.4,0.003,1.7
2019/1/9,0.5,0.13,0.6,87,6.8,19,32,0.44,0.036,0.047,7.7,1.2,30.5,2,2,14,18.7,0.61,4.5,0.002,2.3
2019/1/9,0.2,0.13,0.7,76,6,43,70,0.42,0.036,0.047,7.7,0.6,30.6,2,2,21,18.7,0.59,4.9,0.002,4
2019/2/23,0.3,0.18,2.5,81,6.2,560,860,0.73,0.029,0.026,7.7,1.8,24.5,1.7,1.6,7.2,20.9,0.94,4.2,0.003,1.4
2019/2/23,0.4,0.18,2.3,78,6,1000,1100,0.73,0.03,0.024,7.7,1.3,24.5,1.7,1.6,6.4,21.1,0.94,4.7,0.003,1.1
2019/3/8,0.5,0.2,1.4,81,6.4,1400,2400,0.69,0.034,0.034,8,0.9,24.2,1.8,1.5,9.9,20,0.92,4.2,0.006,3
2019/3/8,0.4,0.18,0.6,84,6.6,870,1400,0.65,0.032,0.032,8,0.5,24.3,1.8,1.4,10,20.4,0.86,3.5,0.005,2.2
2019/4/24,0.8,0.28,1.4,68,5.2,220,630,1.6,0.14,0.068,7.7,1.5,10.4,1.6,6.8,6.9,25.8,2.02,6.3,0.009,1.9
2019/4/24,0.7,0.26,1.2,68,5.1,2000,5700,1.5,0.12,0.065,7.7,1.3,14.9,1.6,6.2,9.8,25.1,1.88,6,0.007,3.3
2019/5/23,0.7,0.07,4.4,85,6.1,100,450,0.87,0.046,0.036,8,4,17.2,2,3.1,4.7,27.5,0.99,3,0.004,1
2019/5/23,0.7,0.075,2.9,90,6.5,200,660,0.83,0.043,0.035,8,3,17.8,2,2.9,5.3,27.4,0.95,3.3,0.005,1.4
2019/6/24,0.5,0.04,0.9,95,7,190,1200,1.2,0.036,0.027,7.7,1.4,7.3,1.5,7.7,4.3,29.3,1.28,4.8,0.002,0.9
